SO so_IN
I i_NP
JUST just_NP
HAD had_NP
A a_NP
THOUGHT thought_NP
, ,
A a_DT
VERY very_NP
DISTURBING disturbing_NP
THOUGHT thought_NP
. .
. .
. .
. .
. .
We we_PP
all all_RB
know know_VBP
that that_IN
Democrats democrats_NPS
, ,
PedoWood pedowood_NP
& &
all all_DT
of of_IN
the the_DT
other other_JJ
liberal liberal_JJ
Elites elite_NNS
drink drink_VBP
the the_DT
blood blood_NN
of of_IN
children child_NNS
for for_IN
the the_DT
adrenochrome adrenochrome_NN
. .
Adrenochrome adrenochrome_NP
is be_VBZ
said say_VBN
to to_TO
be be_VB
strongest strong_JJS
when when_WRB
the the_DT
child child_NN
has have_VBZ
been be_VBN
BRUTALLY brutally_RB
TORTURED tortured_JJ
to to_TO
create create_VB
more more_JJR
adrenaline adrenaline_NN
. .
A a_DT
lot lot_NN
of of_IN
these these_DT
people people_NNS
also also_RB
have have_VBP
children child_NNS
of of_IN
their their
own own_JJ
. .
Do do_VBP
you you_PP
think think_VBP
they they_PP
might might_MD
have have_VB
also also_RB
brought bring_VBN
their their
children child_NNS
up up_IN
drinking drinking_NN
adrenochrome adrenochrome_NN
? ?
Like like_IN
in in_IN
their their
baby baby_NN
bottles bottle_NNS
? ?
Like like_IN
good good_JJ
little little_JJ
Satan satan_NN
worshipers worshiper_NNS
? ?
