Today today_NN
: :
Why why_WRB
digital digital_JJ
platforms platform_NNS
are be_VBP
not not_RB
newspapers newspaper_NNS
but but_CC
rather rather_RB
 "  "
common common_JJ
carriers carrier_NNS
 "  "
with with_IN
an an_DT
obligation obligation_NN
to to_TO
respect respect_VB
free free_JJ
speech speech_NN
. .
How how_WRB
Facebook facebook_NP
snitches snitch_VBZ
on on_IN
conservatives conservative_NNS
to to_TO
the the_DT
FBI fbi_NP
. .
Marine marine_NP
Lt lt_NP
. .
Col col_NN
. .
Stuart stuart_NP
Scheller scheller_NP
on on_IN
crossing cross_VBG
the the_DT
military military_JJ
high high_JJ
command command_NN
. .
Watch watch_NN
! !
