New new_JJ
law law_NN
… …
If if_IN
any any_DT
state state_NN
in in_IN
our our
Union union_NP
blocks block_NNS
the the_DT
official official_NN
nominee nominee_NN
of of_IN
a a_DT
major major_JJ
political political_JJ
party party_NN
from from_IN
the the_DT
Presidential presidential_JJ
ballot ballot_NN
, ,
their their
electoral electoral_JJ
slate slate_NN
will will_MD
not not_RB
be be_VB
counted count_VBN
by by_IN
Congress congress_NP
on on_IN
the the_DT
following follow_VBG
January january_NP
6th 6th_JJ
. .
Play play_VB
stupid stupid_JJ
games game_NNS
, ,
win win_VB
stupid stupid_JJ
a a_DT
very very_JJ
MAGA maga_NP
bill bill_NN
was be_VBD
introduced introduce_VBN
in in_IN
the the_DT
People people_NNS
' '
s s_NN
House house_NN
on on_IN
December december_NP
23rd 23rd_JJ
at at_IN
0900 @card@
: :
/ /
/ /
