We we_PP
need need_VBP
a a_DT
better good_JJR
way way_NN
to to_TO
utilize utilize_VB
the the_DT
federal federal_JJ
whistleblower whistleblower_NN
system system_NN
when when_WRB
people people_NNS
believe believe_VBP
they they_PP
are be_VBP
observing observe_VBG
corrupt corrupt_JJ
actions action_NNS
or or_CC
lies lie_VBZ
from from_IN
the the_DT
eblowers eblowers_NNS
who who_WP
have have_VBP
come come_VBN
forward forward_RB
from from_IN
the the_DT
FBI fbi_NP
were be_VBD
slandered slander_VBN
and and_CC
smeared smear_VBN
by by_IN
the the_DT
mainstream mainstream_JJ
media medium_NNS
and and_CC
congressional congressional_JJ
have have_VBP
to to_TO
look look_VB
at at_IN
ways way_NNS
to to_TO
protect protect_VB
people people_NNS
who who_WP
are be_VBP
trying try_VBG
to to_TO
do do_VB
the the_DT
good good_JJ
, ,
right right_RB
, ,
and and_CC
patriotic patriotic_JJ
thing thing_NN
– -
but but_CC
that that_IN
certainly certainly_RB
isn isn_NP
' '
t t_NN
advanced advance_VBD
by by_IN
the the_DT
leaking leak_VBG
of of_IN
information information_NN
. .
