Hey hey_NP
America america_NP
, ,
if if_IN
you you_PP
haven haven_NN
' '
t t_NN
already already_RB
heard hear_VBN
, ,
this this_DT
summer summer_NN
me me_PP
and and_CC
some some_DT
rowdy rowdy_JJ
friends friend_NNS
are be_VBP
hitting hit_VBG
the the_DT
backroads backroads_NNS
and and_CC
bringing bring_VBG
the the_DT
party party_NN
to to_TO
small small_JJ
towns town_NNS
across across_IN
the the_DT
country country_NN
. .
The the_DT
presale presale_NN
is be_VBZ
happening happen_VBG
this this_DT
Thursday thursday_NP
at at_IN
10am 10am_NP
. .
Sign sign_VB
up up_RB
now now_RB
to to_TO
be be_VB
a a_DT
part part_NN
of of_IN
the the_DT
most most_RBS
patriotic patriotic_JJ
, ,
badass badass_NN
music music_NN
festival festival_NN
of of_IN
2024 @card@
! !
Everything everything_NN
you you_PP
need need_VBP
to to_TO
know know_VB
at at_IN
