New new_NP
J6 j6_NP
Footage footage_NP
Shows shows_NP
Ray ray_NP
Epps epps_NP
Whispering whispering_NP
To to_NP
' '
Baked baked_NP
Alaska alaska_NP
' '
: :
 "  "
We we_PP
' '
re re_NN
Here here_RB
To to_TO
Storm storm_NP
The the_NP
Capitol capitol_NP
 "  "
In in_IN
the the_DT
first first_JJ
of of_IN
a a_DT
two-part two-part_JJ
series series_NN
, ,
 "  "
Truth truth_NP
in in_IN
Media media_NP
 "  "
host host_NN
Lara lara_NP
Logan logan_NP
spoke speak_VBD
with with_IN
Anthime anthime_NP
Gionet gionet_NP
, ,
also also_RB
known know_VBN
as as_IN
 "  "
Baked baked_NP
Alaska alaska_NP
, ,
 "  "
a a_DT
right-wing right-wing_JJ
influencer influencer_NN
formerly formerly_RB
associated associate_VBN
with with_IN
the the_DT
 "  "
alt alt_JJ
right right_NN
. .
 "  "
Video video_JJ
footage footage_NN
from from_IN
January january_NP
5 @card@
, ,
2021 @card@
and and_CC
earlier early_JJR
indicate indicate_VBP
that that_IN
Epps epps_NP
appeared appear_VBD
to to_TO
be be_VB
particularly particularly_RB
interested interested_JJ
in in_IN
Gionet gionet_NP
, ,
who who_WP
was be_VBD
later later_RBR
sentenced sentence_VBN
to to_TO
two two_CD
months month_NNS
in in_IN
prison prison_NN
for for_IN
his his
participation participation_NN
in in_IN
the the_DT
riot riot_NN
at at_IN
the the_DT
US us_NP
( (
Baked baked_NP
Alaska alaska_NP
) )
was be_VBD
one one_CD
of of_IN
several several_JJ
people people_NNS
who who_WP
filmed film_VBD
Epps epps_NP
on on_IN
the the_DT
evening evening_NN
of of_IN
January january_NP
5 @card@
, ,
2021 @card@
outside outside_IN
BLM blm_NP
Plaza plaza_NP
as as_IN
he he_PP
told tell_VBD
Trump trump_NP
supporters supporter_NNS
 "  "
we we_PP
need need_VBP
to to_TO
go go_VB
into into_IN
the the_DT
Capitol capitol_NP
! !
 "  "
At at_IN
first first_JJ
, ,
Gionet gionet_NP
said say_VBD
he he_PP
was be_VBD
amused amuse_VBN
by by_IN
Epps epps_NP
' '
exhortation exhortation_NN
to to_TO
breach breach_VB
the the_DT
Capitol capitol_NN
, ,
and and_CC
yelled yell_VBN
' '
let let_NN
' '
s s_NNS
go go_VBP
! !
' '
in in_IN
response response_NN
, ,
but but_CC
after after_IN
he he_PP
saw see_VBD
him him_PP
repeat repeat_VB
the the_DT
line line_NN
several several_JJ
times time_NNS
to to_TO
different different_JJ
groups group_NNS
that that_DT
night night_NN
, ,
he he_PP
became become_VBD
convinced convince_VBN
the the_DT
 "  "
boomer boomer_NN
 "  "
was be_VBD
an an_DT
FBI fbi_NP
plant plant_NN
and and_CC
was be_VBD
up up_RB
to to_TO
no no_DT
: :
/ /
/ /
