SAY say_VB
WAT wat_NP
? ?
So so_RB
if if_IN
we we_PP
say say_VBP
that that_IN
during during_IN
a a_DT
conservative conservative_JJ
government government_NN
to to_TO
libs lib_NNS
, ,
we we_PP
' '
re re_NN
good good_JJ
! !
winking_face_e winking_face_e
 "  "
So so_RB
what what_WP
' '
s s_NNS
the the_DT
deal deal_NN
with with_IN
the the_DT
idea idea_NN
that that_IN
it it_PP
' '
s s_NN
an an_DT
absolute absolute_JJ
, ,
you you_PP
know know_VBP
, ,
I i_PP
love love_VBP
these these_DT
guys guy_NNS
who who_WP
say say_VBP
the the_DT
Second second_NP
Amendment amendment_NP
is be_VBZ
, ,
you you_PP
know know_VBP
, ,
the the_DT
tree tree_NN
of of_IN
liberty liberty_NN
is be_VBZ
water water_NN
with with_IN
the the_DT
blood blood_NN
of of_IN
patriots patriot_NNS
. .
Well well_RB
, ,
if if_IN
want want_VBP
to to_TO
do do_VB
that that_IN
, ,
you you_PP
want want_VBP
to to_TO
work work_VB
against against_IN
the the_DT
government government_NN
, ,
you you_PP
need need_VBP
an an_DT
F-16 f-16_NP
. .
You you_PP
need need_VBP
something something_NN
else else_RB
than than_IN
just just_RB
an an_DT
AR-15 ar-15_NP
. .
 "  "
