CRAZY crazy_JJ
! !
My my
political political_JJ
opponent opponent_NN
has have_VBZ
hit hit_VBN
me me_PP
with with_IN
a a_DT
barrage barrage_NN
of of_IN
weak weak_JJ
lawsuits lawsuit_NNS
, ,
including include_VBG
D d_NP
. .
A a_DT
. .
, ,
A a_NP
. .
G g_NN
. .
, ,
and and_CC
others other_NNS
, ,
which which_WDT
require require_VBP
massive massive_JJ
amounts amount_NNS
of of_IN
my my
time time_NN
& &
money money_NN
to to_TO
adjudicate adjudicate_VB
. .
Resources resource_NNS
that that_WDT
would would_MD
have have_VB
gone go_VBN
into into_IN
Ads ads_NP
and and_CC
Rallies rallies_NP
, ,
will will_MD
now now_RB
have have_VB
to to_TO
be be_VB
spent spend_VBN
fighting fight_VBG
these these_DT
Radical radical_NP
Left left_NP
Thugs thugs_NP
in in_IN
numerous numerous_JJ
courts court_NNS
throughout throughout_IN
the the_DT
Country country_NN
. .
I i_PP
am be_VBP
leading lead_VBG
in in_IN
all all_DT
Polls poll_NNS
, ,
including include_VBG
against against_IN
Crooked crooked_NP
Joe joe_NP
, ,
but but_CC
this this_DT
is be_VBZ
not not_RB
a a_DT
level level_NN
playing play_VBG
field field_NN
. .
It it_PP
is be_VBZ
Election election_NP
Interference interference_NP
, ,
& &
the the_DT
Supreme supreme_NP
Court court_NP
must must_MD
intercede intercede_VB
. .
MAGA maga_NP
! !
