Spending spend_VBG
the the_DT
day day_NN
in in_IN
Austin austin_NP
Texas texas_NP
today today_NN
with with_IN
the the_DT
great great_JJ
President president_NP
Trump trump_NP
and and_CC
real real_JJ
American american_JJ
patriots patriot_NNS
performing perform_VBG
a a_DT
firebreathing firebreathing_NN
Star-Spangled star-spangled_NP
Banner banner_NP
and and_CC
raising raise_VBG
maximum maximum_JJ
freedom freedom_NN
hell hell_NN
to to_TO
revive revive_VB
our our
wonderful wonderful_JJ
country country_NN
. .
￼ ￼
