Most most_JJS
people people_NNS
know know_VBP
and and_CC
understand understand_VBP
all all_DT
of of_IN
this this_DT
which which_WDT
is be_VBZ
why why_WRB
more more_JJR
and and_CC
more more_JJR
people people_NNS
who who_WP
used use_VBD
to to_TO
vote vote_VB
Democrat democrat_NP
or or_CC
used use_VBN
to to_TO
support support_VB
Democrats democrat_NNS
 "  "
values value_NNS
 "  "
are be_VBP
switching switch_VBG
to to_TO
being be_VBG
more more_RBR
real real_JJ
problem problem_NN
is be_VBZ
these these_DT
privileged privileged_JJ
liberal liberal_JJ
white white_JJ
supremacists supremacist_NNS
who who_WP
run run_VBP
around around_RP
telling tell_VBG
minority minority_NN
groups group_NNS
that that_IN
they they_PP
' '
re re_NN
too too_RB
stupid stupid_JJ
to to_TO
understand understand_VB
what what_WP
they they_PP
want want_VBP
or or_CC
need need_VBP
and and_CC
they they_PP
' '
re re_NN
going go_VBG
to to_TO
start start_VB
making make_VBG
demands demand_NNS
on on_IN
their their
behalf behalf_NN
. .
