We we_PP
have have_VBP
willingly willingly_RB
swan swan_NN
dived dive_VBD
into into_IN
the the_DT
cultural cultural_JJ
suicide suicide_NN
of of_IN
the the_DT
Roman roman_NP
empire empire_NN
and and_CC
Satan satan_NN
runs run_VBZ
our our
once once_RB
great great_JJ
nation nation_NN
. .
Unite unite_VB
raise raise_VB
hell hell_NN
vote vote_NN
and and_CC
crush crush_VB
the the_DT
motherfuckers motherfucker_NNS
. .
￼ ￼
join join_VB
me me_PP
at at_IN
to to_TO
unite unite_VB
and and_CC
empower empower_VB
the the_DT
greatest great_JJS
conservative conservative_JJ
voting voting_NN
army army_NN
ever ever_RB
. .
￼ ￼
The the_DT
Electric electric_NP
Vehicle vehicle_NP
Scamby scamby_NP
Dr dr_NP
. .
Jay jay_NP
Lehr lehr_NP
and and_CC
Tom tom_NP
Harris harris_NP
- -_NN
Jan jan_NP
15 @card@
, ,
2022 @card@
- -_NN
Climate climate_NN
Change change_NP
, ,
Lifestyle lifestyle_NP
, ,
PoliticsThe politicsthe_JJ
utility utility_NN
companies company_NNS
have have_VBP
thus thus_RB
far far_RB
had have_VBD
little little_JJ
to to_TO
say say_VB
about about_IN
the the_DT
alarming alarming_JJ
cost cost_NN
projections projection_NNS
to to_TO
op op_NN
