Today today_NN
, ,
I i_PP
was be_VBD
proud proud_JJ
to to_TO
join join_VB
so so_RB
many many_JJ
GOP gop_NP
colleagues colleague_NNS
in in_IN
reaffirming reaffirm_VBG
our our
support support_NN
for for_IN
Israel israel_NP
. .
We we_PP
will will_MD
always always_RB
stand stand_VB
with with_IN
our our
great great_JJ
ally ally_NN
and and_CC
its its
right right_NN
to to_TO
defend defend_VB
itself itself_PP
against against_IN
Hamas hamas_NP
or or_CC
any any_DT
other other_JJ
terrorist terrorist_JJ
organization organization_NN
! !
