Help help_VB
me me_PP
welcome welcome_VB
these these_DT
Awesome awesome_JJ
#gettr_h gettr_h
friends friend_NNS
to to_TO
#truthsocial_h truthsocial_h
@GtheOriginal twitterhandle_JJ
@FollowBackGirl twitterhandle_NN
@SamanthaMarkle1 twitterhandle_JJ
@fatima_italia twitterhandle_NN
#patriots4ever_h patriots4ever_h
! !
! !
Please please_UH
give give_VB
my my
friend friend_NN
a a_DT
#follow4follow_h follow4follow_h
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
#patriot_h patriot_h
#covfefe_h covfefe_h
#magatruth_h magatruth_h
#retruth_h retruth_h
#share_h share_h
#truth_h truth_h
#like_h like_h
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
flag_united_states_e flag_united_states_e
#wefollowback_h wefollowback_h
flag_united_states_e flag_united_states_e
#ifbap_h ifbap_h
#patriots_h patriots_h
#HASHTAG#maga_h #hashtag#maga_h
#americafirst_h americafirst_h
#americathank_h americathank_h
you you_PP
red_heart_e red_heart_e
white_heart_e white_heart_e
blue_heart_e blue_heart_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
folded_hands_e folded_hands_e
