Breitbart breitbart_NP
News news_NP
: :
Rep rep_NN
. .
Byron byron_NP
Donalds donalds_NP
declared declare_VBD
that that_IN
Donald donald_NP
Trump trump_NP
won win_VBD
the the_DT
first first_JJ
GOP gop_NP
presidential presidential_JJ
primary primary_JJ
debate debate_NN
without without_IN
participating participate_VBG
in in_IN
it it_PP
. .
 "  "
It it_PP
' '
s s_NNS
a a_DT
one-person one-person_NN
race race_NN
with with_IN
a a_DT
lot lot_NN
of of_IN
other other_JJ
people people_NNS
in in_IN
the the_DT
race race_NN
, ,
 "  "
he he_PP
explained explain_VBD
. .
 "  "
In in_IN
the the_DT
grand grand_JJ
scheme scheme_NN
, ,
Donald donald_NP
Trump trump_NP
' '
s s_NNS
the the_DT
winner winner_NN
of of_IN
this this_DT
debate debate_NN
. .
Nobody nobody_NN
on on_IN
that that_DT
stage stage_NN
, ,
from from_IN
what what_WP
I i_PP
saw see_VBD
, ,
really really_RB
galvanized galvanized_JJ
Republicans republican_NNS
in in_IN
a a_DT
way way_NN
that that_IN
you you_PP
can can_MD
then then_RB
directly directly_RB
challenge challenge_VB
Donald donald_NP
Trump trump_NP
. .
 "  "
