Good good_JJ
morning morning_NN
- -_NNS
what what_WP
are be_VBP
we we_PP
going go_VBG
to to_TO
do do_VB
today today_NN
to to_TO
stand stand_VB
together together_RB
, ,
united unite_VBN
against against_IN
tyranny tyranny_NN
, ,
protect protect_VB
all all_PDT
our our
children child_NNS
& &
fight fight_NN
for for_IN
freedom freedom_NN
? ?
It it_PP
starts start_VBZ
with with_IN
learning learn_VBG
the the_DT
truth truth_NN
about about_IN
January january_NP
6th 6th_JJ
& &
letting let_VBG
your your
leaders leader_NNS
know know_VBP
you you_PP
want want_VBP
all all_DT
political political_JJ
prisoners prisoner_NNS
freed free_VBN
now now_RB
. .
Jan jan_NP
6th 6th_JJ
defendants defendant_NNS
imprisoned imprison_VBN
without without_IN
trial trial_NN
- -_NN
we we_PP
hear hear_VBP
your your
cries cry_NNS
. .
You you_PP
are be_VBP
not not_RB
alone alone_RB
. .
 "  "
We we_PP
the the_DT
people people_NNS
 "  "
are be_VBP
with with_IN
you you_PP
& &
will will_MD
not not_RB
forget forget_VB
. .
We we_PP
need need_VBP
to to_TO
do do_VB
more more_RBR
& &
we we_PP
will will_MD
. .
