If if_IN
you you_PP
' '
re re_NN
looking look_VBG
for for_IN
good good_JJ
news news_NN
, ,
just just_RB
remember remember_VB
the the_DT
Supreme supreme_NP
Court court_NP
will will_MD
be be_VB
handing hand_VBG
down down_RP
the the_DT
most most_RBS
transformational transformational_JJ
rulings ruling_NNS
in in_IN
decades decade_NNS
for for_IN
our our
1A 1a_NP
free free_JJ
speech speech_NN
rights right_NNS
by by_IN
this this_DT
July july_NP
( (
4 @card@
months month_NNS
before before_IN
the the_DT
election election_NN
) )
Pay pay_NN
attention attention_NN
to to_TO
these these_DT
key key_JJ
cases:Murthy cases:murthy
v v_NN
. .
Biden biden_NP
( (
Federal federal_NP
gov gov_NP
' '
t t_NN
censorship censorship_NN
of of_IN
social social_JJ
media media_NN
posts post_NNS
) )
O o_NP
' '
Handley handley_NP
v v_NN
. .
Weber weber_NP
( (
CA ca_NP
gov gov_NP
' '
t t_NN
telling tell_VBG
Twitter twitter_NP
1 @card@
. .
0 @card@
to to_TO
censor censor_VB
DC_Draino dc_draino_NP
) )
Moody moody_JJ
v v_NN
. .
NetChoice netchoice_NP
( (
FL fl_NP
law law_NN
banning ban_VBG
discrimination discrimination_NN
of of_IN
conservatives conservative_NNS
) )
Paxton paxton_NP
v v_NN
. .
NetChoice netchoice_NP
( (
TX tx_NP
law law_NN
banning ban_VBG
discrimination discrimination_NN
of of_IN
conservatives conservative_NNS
) )
NRA nra_NN
v v_NN
. .
Vullo vullo_NP
( (
NY ny_NP
gov gov_NP
' '
t t_NN
telling tell_VBG
insurance insurance_NN
companies company_NNS
not not_RB
to to_TO
work work_VB
with with_IN
NRA nra_NP
) )
