DC_Draino@DC_DrainoAOC dc_draino@dc_drainoaoc
is be_VBZ
claiming claim_VBG
Elon elon_NP
interfered interfere_VBD
with with_IN
the the_DT
2022 @card@
midterm midterm_NN
elections election_NNS
by by_IN
altering alter_VBG
X x_NP
' '
s s_NN
algorithmsI algorithmsi_NNS
mean mean_VBP
, ,
it it_PP
' '
s s_NN
not not_RB
like like_IN
he he_PP
banned ban_VBD
Trump trump_NP
and and_CC
100 @card@
, ,
000+ 000+
of of_IN
his his
top top_JJ
supporters supporter_NNS
, ,
shadow shadow_NN
banned ban_VBD
truthful truthful_JJ
posts post_NNS
about about_IN
Democrat democrat_NP
corruption corruption_NN
, ,
and and_CC
suppressed suppress_VBD
the the_DT
Hunter hunter_NP
Biden biden_NP
laptop laptop_NN
story…But story…but
Elon elon_NP
actually actually_RB
didn didn_NN
' '
t t_NN
even even_RB
change change_VB
the the_DT
algos algos_NNS
until until_IN
*after* *after*
the the_DT
midtermsHe midtermshe_NN
kept keep_VBD
them them_PP
in in_IN
place place_NN
u u_NN
til til_NN
after after_IN
the the_DT
midterms midterm_NNS
and and_CC
the the_DT
GOP gop_NP
still still_RB
took take_VBD
the the_DT
HouseAOC houseaoc_NP
is be_VBZ
trying try_VBG
to to_TO
rewrite rewrite_VB
history history_NN
with with_IN
more more_JJR
lies lie_NNS
to to_TO
justify justify_VB
more more_JJR
regime regime_NN
tyranny tyranny_NN
and and_CC
censorship censorship_NN
- -_NNS
remember remember_VBP
her her
fabricated fabricate_VBN
J6 j6_NN
stories story_NNS
? ?
2024 @card@
will will_MD
be be_VB
the the_DT
first first_JJ
major major_JJ
election election_NN
where where_WRB
we we_PP
have have_VBP
free free_JJ
speech speech_NN
on on_IN
XAnd xand_NP
we we_PP
will will_MD
likely likely_RB
have have_VB
3+ 3+
SCOTUS scotus_NP
1A 1a_NP
decisions decision_NNS
coming come_VBG
by by_IN
July july_NP
that that_WDT
will will_MD
protect protect_VB
free free_JJ
speech speech_NN
on on_IN
other other_JJ
Big big_NP
Tech tech_NP
platforms platform_NNS
as as_IN
well well_RB
