At at_IN
least least_JJS
8 @card@
million million_CD
people people_NNS
have have_VBP
invaded invade_VBN
our our
country country_NN
since since_IN
the the_DT
Biden biden_NP
regime regime_NN
took take_VBD
office office_NN
in in_IN
Jan jan_NP
put put_VBD
this this_DT
in in_IN
perspective perspective_NN
this this_DT
is be_VBZ
equal equal_JJ
to to_TO
the the_DT
populations population_NNS
of:WyomingVermontAlaskaNorth of:wyomingvermontalaskanorth
DakotaSouth dakotasouth_NP
DakotaDelawareRhode dakotadelawarerhode_NP
IslandMontanaMaineCOMBINED islandmontanamainecombined_NP
. .
. .
. .
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
