Rep rep_NP
. .
Ted ted_NP
Budd budd_NP
swept sweep_VBD
to to_TO
victory victory_NN
in in_IN
the the_DT
#northcarolina_h northcarolina_h
GOP gop_NP
primary primary_NN
for for_IN
the the_DT
US us_NP
Senate senate_NP
on on_IN
May may_NP
, ,
a a_DT
firebrand firebrand_NN
conservative conservative_NN
whose whose
campaign campaign_NN
focused focus_VBD
on on_IN
fighting fight_VBG
the the_DT
ideological ideological_JJ
left left_NN
, ,
scored score_VBD
an an_DT
endorsement endorsement_NN
from from_IN
former former_JJ
president president_NN
Donald donald_NP
Trump trump_NP
. .
