March march_NP
4 @card@
, ,
2022Olathe 2022olathe_NP
East east_NP
High high_NP
School school_NP
in in_IN
Olathe olathe_NP
, ,
Kansas0 kansas0_NP
dead dead_JJ
• •
2 @card@
injured injure_VBN
• •
1 @card@
, ,
820 @card@
children child_NNS
present present_JJ
in in_IN
schoolAn schoolan_JJ
18-year-old 18-year-old_JJ
shot shot_NN
and and_CC
wounded wound_VBN
a a_DT
school school_NN
resource resource_NN
officer officer_NN
and and_CC
an an_DT
administrator administrator_NN
before before_IN
also also_RB
being be_VBG
wounded wound_VBN
when when_WRB
the the_DT
officer officer_NN
shot shoot_VBD
back back_RB
. .
