Former former_JJ
Vice vice_NP
President president_NP
Mike mike_NP
Pence pence_NP
has have_VBZ
filed file_VBN
papers paper_NNS
to to_TO
jump jump_VB
into into_IN
the the_DT
2024 @card@
presidential presidential_JJ
primary primary_NN
for for_IN
the the_DT
GOP gop_NP
nomination nomination_NN
, ,
setting set_VBG
up up_RP
a a_DT
clash clash_NN
with with_IN
President president_NP
is be_VBZ
set set_VBN
to to_TO
formally formally_RB
announce announce_VB
his his
candidacy candidacy_NN
on on_IN
June june_NP
7 @card@
. .
