Caption caption_VB
this this_DT
folks folk_NNS
backhand_index_pointing_down_medium-light_skin_tone_e backhand_index_pointing_down_medium-light_skin_tone_e
MSNBC msnbc_NP
have have_VBP
suspended suspend_VBN
Mehdi mehdi_NP
Hasan hasan_NP
, ,
Ayman ayman_NP
Mohieddine mohieddine_NP
and and_CC
Ali ali_NP
Velshi velshi_NP
amid amid_IN
the the_DT
Palestine palestine_NP
- -_NN
Israel israel_NP
conflict conflict_NN
eyes_e eyes_e
i i_NP
thought think_VBD
we we_PP
had have_VBD
free free_JJ
speech speech_NN
in in_IN
MSNBC msnbc_NP
fake fake_JJ
news news_NN
exploding_head_e exploding_head_e
