Last last_JJ
night night_NN
, ,
I i_PP
read read_VBP
the the_DT
cheers cheer_NNS
& &
taunts taunt_NNS
as as_IN
democrats democrat_NNS
( (
& &
establishment establishment_NN
Republicans republican_NNS
) )
celebrated celebrate_VBD
early early_JJ
vote vote_NN
by by_IN
mail mail_NN
started start_VBN
as as_IN
a a_DT
bleak bleak_JJ
evening evening_NN
turned turn_VBN
into into_IN
big big_JJ
conservative conservative_JJ
vote vote_NN
gains gain_NNS
, ,
as as_IN
election election_NN
day day_NN
results result_NNS
was be_VBD
like like_IN
the the_DT
inverse inverse_NN
of of_IN
2020 @card@
. .
