MORE more_JJR
THAN than_NP
300 @card@
PEOPLE people_NP
DIE die_NP
OF of_IN
FENTANYL fentanyl_NP
OVERDOSES overdose_NNS
IN in_IN
THE the_DT
STATES states_NP
EVERY every_NP
DAY day_NP
, ,
FENTANYL fentanyl_NP
THAT that_NP
IS be_VBZ
POURING pouring_NP
OVER over_NP
THE the_NP
SOUTHERN southern_NP
BORDER border_NP
. .
pouting_face_e pouting_face_e
The the_DT
husband husband_NN
a a_DT
New new_NP
York york_NP
City city_NP
day day_NN
care care_NN
owner owner_NN
pleaded plead_VBD
guilty guilty_JJ
to to_TO
federal federal_JJ
charges charge_NNS
on on_IN
Monday monday_NP
related relate_VBN
to to_TO
the the_DT
fentanyl fentanyl_NN
poisonings poisoning_NNS
of of_IN
four four_CD
children child_NNS
, ,
including include_VBG
a a_DT
one-year-old one-year-old_JJ
who who_WP
: :
/ /
/ /
