Black black_NP
Friday friday_NP
is be_VBZ
here here_RB
! !
You you_PP
could could_MD
go go_VB
to to_TO
Target target_NP
and and_CC
get get_VB
a a_DT
great great_JJ
deal deal_NN
on on_IN
a a_DT
women woman_NNS
' '
s s_NN
swimsuit swimsuit_NN
with with_IN
a a_DT
penis penis_NN
pouch pouch_NN
face_with_tears_of_joy_e face_with_tears_of_joy_e
see-no-evil_monkey_e see-no-evil_monkey_e
… …
. .
. .
or or_CC
you you_PP
could could_MD
buy buy_VB
tickets ticket_NNS
to to_TO
the the_DT
most most_RBS
patriotic patriotic_JJ
music music_NN
gatherings gathering_NNS
in in_IN
the the_DT
world world_NN
! !
Hope hope_NN
everyone everyone_NN
had have_VBD
a a_DT
terrific terrific_JJ
Thanksgiving thanksgiving_NP
, ,
God god_NP
Bless bless_NP
. .
-Kid -kid_NP
Rock rock_NP
