Thank thank_VB
you you_PP
to to_TO
Tulare tulare_NP
Country country_NP
GOP gop_NP
for for_IN
throwing throw_VBG
a a_DT
ticker ticker_NN
tape tape_NN
parade parade_NN
as as_IN
the the_DT
new new_JJ
golden golden_JJ
boy boy_NN
of of_IN
the the_DT
valley valley_NN
, ,
replacing replace_VBG
@DevinNunes twitterhandle_NP
rolling_on_the_floor_laughing_e rolling_on_the_floor_laughing_e
grinning_squinting_face_e grinning_squinting_face_e
rolling_on_the_floor_laughing_e rolling_on_the_floor_laughing_e
Special special_JJ
thanks thanks_NNS
to to_TO
Connie connie_NP
Conway conway_NP
for for_IN
putting put_VBG
on on_IN
a a_DT
fantastic fantastic_JJ
evening evening_NN
and and_CC
getting get_VBG
everyone everyone_NN
a a_DT
signed sign_VBN
copy copy_NN
of of_IN
my my
best good_JJS
seller seller_NN
#governmentgangsters_h governmentgangsters_h
just just_RB
in in_IN
time time_NN
for for_IN
the the_DT
holiday holiday_NN
hunt hunt_NN
! !
%2Caps%2C314&sr=8-1 %2caps%2c314&sr=8-1
