I i_PP
have have_VBP
a a_DT
vision vision_NN
of of_IN
a a_DT
Republican republican_NP
Party party_NP
that that_WDT
truly truly_RB
serves serve_VBZ
the the_DT
American american_JJ
people people_NNS
and and_CC
our our
many many_JJ
great great_JJ
House house_NP
GOP gop_NP
conference conference_NN
all all_RB
suffered suffer_VBD
together together_RB
so so_RB
much much_JJ
in in_IN
the the_DT
past past_JJ
two two_CD
years year_NNS
and and_CC
many many_JJ
House house_NP
Republicans republicans_NPS
have have_VBP
changed change_VBN
and and_CC
moved move_VBN
to to_TO
the the_DT
right right_NN
, ,
but but_CC
the the_DT
base base_NN
doesn doesn_NN
' '
t t_NN
know know_VBP
is be_VBZ
an an_DT
example:The example:the
Senate senate_NP
Republicans republicans_NPS
are be_VBP
another another_DT
story story_NN
& &
the the_DT
18 @card@
Senators senator_NNS
that that_WDT
voted vote_VBD
for for_IN
the the_DT
Democrats democrats_NPS
$1 $1
. .
7 @card@
trillion trillion_CD
omnimonster omnimonster_NN
are be_VBP
the the_DT
Uniparty uniparty_NP
, ,
36 @card@
% %
of of_IN
Republican republican_JJ
Senators senator_NNS
. .
