Where where_WRB
in in_IN
God god_NP
' '
s s_JJ
name name_NN
are be_VBP
the the_DT
real real_JJ
Republicans republican_NNS
for for_IN
the the_DT
January6 january6_JJ
political political_JJ
prisoners prisoner_NNS
and and_CC
Matthew matthew_NP
Perna perna_NP
driven drive_VBN
to to_TO
suicide suicide_NN
by by_IN
the the_DT
most most_RBS
evil evil_JJ
corrupt corrupt_JJ
soulless soulless_JJ
antiJustice antijustice_NN
DOJ doj_NP
in in_IN
the the_DT
history history_NN
of of_IN
evil evil_NN
. .
Damn damn_RB
them them_PP
all all_RB
! !
￼ ￼
Please please_NP
gather gather_VB
with with_IN
us us_PP
at at_IN
to to_TO
get get_VB
the the_DT
winning winning_JJ
conservative conservative_JJ
voting voting_NN
army army_NN
into into_IN
action action_NN
! !
￼ ￼
