I i_PP
have have_VBP
a a_DT
wild wild_JJ
idea idea_NN
, ,
parents parent_NNS
. .
If if_IN
your your
kids kid_NNS
' '
school school_NN
is be_VBZ
strapping strap_VBG
a a_DT
QR qr_NP
code code_NN
around around_IN
their their
neck neck_NN
and and_CC
scanning scan_VBG
it it_PP
on on_IN
the the_DT
regular regular_JJ
, ,
especially especially_RB
for for_IN
behavioral behavioral_JJ
reasons reason_NNS
, ,
it it_PP
' '
s s_JJ
past past_JJ
time time_NN
to to_TO
get get_VB
your your
children child_NNS
out out_RP
of of_IN
that that_DT
school school_NN
and and_CC
to to_TO
' '
s s_NNS
look look_VBP
at at_IN
PBIS pbis_NP
. .
And and_CC
yes yes_UH
, ,
schools school_NNS
are be_VBP
using use_VBG
it it_PP
! !
Full full_JJ
Thread thread_JJ
thread_e thread_e
: :
