BREAKING break_VBG
BOMBSHELL bombshell_NP
: :
Elon elon_NP
Musk musk_NP
Takes take_VBZ
on on_IN
WEF wef_NP
/ /
UN un_NP
/ /
EU eu_NP
Plan plan_NP
to to_TO
Censor censor_NP
Free free_NP
Speech speech_NP
Worldwide worldwide_NP
, ,
Take take_VBP
Over over_IN
National national_NP
Medical medical_NP
Systems systems_NP
, ,
Dissolve dissolve_NP
Borders borders_NP
& &
Enforce enforce_NP
a a_DT
Global global_NP
CBDC cbdc_NP
Cashless cashless_NP
Society society_NP
! !
Must-Watch must-watch_NP
Thursday thursday_NP
Broadcast broadcast_NP
! !
╰ ╰
#supportinfowars_h supportinfowars_h
╮ ╮
video_game_e video_game_e
grinning_squinting_face_e grinning_squinting_face_e
#nwowars_h nwowars_h
AVAILABLE available_NP
on on_IN
Steam steam_NP
! !
fire_e fire_e
closed_book_e closed_book_e
writing_hand_e writing_hand_e
Get get_VBP
a a_DT
signed sign_VBN
copy copy_NN
of of_IN
' '
The the_DT
Great great_NP
Awakening awakening_NP
' '
while while_IN
you you_PP
still still_RB
can can_MD
! !
#1a_h 1a_h
