Former former_JJ
President president_NP
Donald donald_NP
Trump trump_NP
@realDonaldTrump twitterhandle_NN
, ,
the the_DT
presumptive presumptive_JJ
Republican republican_JJ
nominee nominee_NN
for for_IN
president president_NN
in in_IN
2024 @card@
, ,
told tell_VBD
Breitbart breitbart_NP
News news_NP
exclusively exclusively_RB
that that_IN
the the_DT
primary primary_JJ
drivers driver_NNS
of of_IN
demographic demographic_JJ
shifts shift_NNS
in in_IN
the the_DT
electorate electorate_NN
where where_WRB
women woman_NNS
and and_CC
minority minority_NN
voters voter_NNS
are be_VBP
leaving leave_VBG
Democrats democrat_NNS
to to_TO
side side_VB
with with_IN
him him_PP
are be_VBP
 "  "
safety safety_NN
and and_CC
security security_NN
. .
 "  "
