BREAKING break_VBG
NEWS news_NN
: :
Former former_JJ
Arkansas arkansas_NP
Gov gov_NP
. .
Asa asa_NP
Hutchinson hutchinson_NP
dropped drop_VBD
his his
long long_JJ
shot shot_NN
bid bid_NN
for for_IN
the the_DT
Republican republican_JJ
presidential presidential_JJ
nomination nomination_NN
Tuesday tuesday_NP
, ,
ending end_VBG
a a_DT
candidacy candidacy_NN
that that_WDT
served serve_VBD
as as_IN
a a_DT
throwback throwback_NN
to to_TO
an an_DT
earlier early_JJR
era era_NN
of of_IN
the the_DT
GOP gop_NP
but but_CC
ultimately ultimately_RB
failed fail_VBD
to to_TO
resonate resonate_VB
in in_IN
a a_DT
party party_NN
now now_RB
dominated dominate_VBN
by by_IN
Donald donald_NP
Trump trump_NP
. .
Read read_VB
more more_RBR
: :
