Pro-abortion pro-abortion_NN
advocates advocate_NNS
gathered gather_VBN
outside outside_IN
the the_DT
neighborhood neighborhood_NN
of of_IN
Justice justice_NP
#clarencethomas_h clarencethomas_h
for for_IN
a a_DT
potentially potentially_RB
illegal illegal_JJ
icans icans_NNS
say say_VBP
Democrats democrat_NNS
are be_VBP
conducting conduct_VBG
a a_DT
witch witch_NN
hunt hunt_NN
against against_IN
Thomas thomas_NP
and and_CC
the the_DT
#supremecourt_h supremecourt_h
due due_JJ
to to_TO
its its
6–3 6–3
conservative conservative_JJ
majority majority_NN
. .
