Brave brave_JJ
patriots patriot_NNS
who who_WP
want want_VBP
to to_TO
serve serve_VB
this this_DT
country country_NN
should should_MD
be be_VB
treated treat_VBN
with with_IN
dignity dignity_NN
— -
not not_RB
railroaded railroad_VBN
& &
mistreated mistreat_VBN
because because_IN
of of_IN
their their
conservative conservative_JJ
political political_JJ
Armed armed_NP
Forces force_NNS
have have_VBP
become become_VBN
saturated saturate_VBN
in in_IN
DEI dei_NP
, ,
& &
ultimately ultimately_RB
, ,
our our
recruitment recruitment_NN
, ,
preparedness preparedness_NN
, ,
and and_CC
national national_JJ
defense defense_NN
will will_MD
suffer suffer_VB
. .
