WPATH wpath_NP
sets set_VBZ
standards standard_NNS
internationally internationally_RB
for for_IN
child child_NN
sex sex_NN
transitions transition_NNS
and and_CC
now now_RB
they they_PP
' '
re re_NN
set set_VBD
to to_TO
recommend recommend_VB
even even_RB
younger young_JJR
children child_NNS
get get_VBP
sterilized sterilize_VBN
for for_IN
life life_NN
, ,
have have_VBP
their their
breasts breast_NNS
cut cut_VBN
off off_RP
, ,
have have_VBP
their their
testicles testicle_NNS
cut cut_VB
off off_RP
and and_CC
/ /
or or_CC
be be_VB
put put_VBN
on on_IN
dangerous dangerous_JJ
drugs drug_NNS
to to_TO
stop stop_VB
their their
natural natural_JJ
development development_NN
as as_IN
young young_JJ
as as_IN
8 @card@
YEARS year_NNS
OLD old_JJ
! !
Nations nation_NNS
fall fall_VBP
when when_WRB
good good_JJ
men man_NNS
and and_CC
women woman_NNS
say say_VBP
and and_CC
do do_VBP
nothing nothing_NN
. .
You you_PP
can can_MD
' '
t t_NN
stand stand_NN
by by_IN
in in_IN
silence silence_NN
because because_IN
you you_PP
' '
re re_NN
afraid afraid_JJ
of of_IN
ruffling ruffle_VBG
feathers feather_NNS
. .
This this_DT
is be_VBZ
the the_DT
issue issue_NN
you you_PP
NEED need_JJ
to to_TO
speak speak_VB
up up_RP
on on_IN
. .
We we_PP
can can_MD
' '
t t_NN
afford afford_VB
to to_TO
be be_VB
silent silent_JJ
! !
