Passing pass_VBG
red red_JJ
flag flag_NN
laws law_NNS
was be_VBD
not not_RB
a a_DT
solution solution_NN
by by_IN
Democrats democrats_NPS
to to_TO
stop stop_VB
mass mass_JJ
shootings shooting_NNS
, ,
it it_PP
will will_MD
be be_VB
a a_DT
tool tool_NN
to to_TO
disarm disarm_VB
any any_DT
gun gun_NN
owner owner_NN
that that_WDT
wants want_VBZ
to to_TO
stop stop_VB
abortion abortion_NN
, ,
the the_DT
trans trans_NNS
agenda agenda_NN
on on_IN
kids kid_NNS
, ,
mass mass_JJ
illegal illegal_JJ
migration migration_NN
, ,
& &
big big_JJ
government government_NN
oppression oppression_NN
suffocating suffocate_VBG
our our
families family_NNS
, ,
faith faith_NN
, ,
& &
ican ican_NN
Senators senator_NNS
failed fail_VBD
their their
voters voter_NNS
and and_CC
helped help_VBN
Democrats democrats_NPS
create create_VBP
a a_DT
very very_RB
dangerous dangerous_JJ
bill bill_NN
making make_VBG
it it_PP
now now_RB
possible possible_JJ
to to_TO
red red_JJ
flag flag_NN
Americans american_NNS
when when_WRB
their their
political political_JJ
enemies enemy_NNS
feel feel_VBP
a a_DT
gun gun_NN
owner owner_NN
is be_VBZ
a a_DT
 "  "
threat threat_NN
to to_TO
themselves themselves_PP
or or_CC
others other_NNS
. .
 "  "
1 @card@
/ /
5 @card@
