An an_DT
activist activist_NN
claims claim_VBZ
she she_PP
was be_VBD
kicked kick_VBN
by by_IN
Rep rep_NP
. .
#marjorietaylorgreene_h marjorietaylorgreene_h
. .
The the_DT
congresswoman congresswoman_NN
denies deny_VBZ
. .
Watch watch_VB
for for_IN
yourself yourself_PP
and and_CC
ory ory_JJ
: :
Greene greene_NP
was be_VBD
confronted confront_VBN
Thursday thursday_NP
by by_IN
gun gun_NN
control control_NN
activists activist_NNS
on on_IN
Capitol capitol_NP
Hill hill_NP
. .
 "  "
These these_DT
foolish foolish_JJ
cowards coward_NNS
want want_VBP
the the_DT
government government_NN
to to_TO
take take_VB
away away_RP
guns gun_NNS
& &
the the_DT
rights right_NNS
of of_IN
parents parent_NNS
to to_TO
defend defend_VB
their their
children child_NNS
in in_IN
schools school_NNS
, ,
 "  "
she she_PP
later later_RBR
wrote write_VBD
on on_IN
Twitter twitter_NP
. .
18-year-old 18-year-old_JJ
Marianna marianna_NP
Pecora pecora_NP
accuses accuse_VBZ
Greene greene_NP
of of_IN
kicking kick_VBG
her her_PP
during during_IN
the the_DT
incident incident_NN
. .
