Monday monday_NP
LIVE live_NP
: :
Investigation investigation_NP
Confirms confirms_NP
Elon elon_NP
Musk musk_NP
' '
s s_NN
X x_NN
Is be_VBZ
Censoring censoring_NP
Infowars infowars_NP
In in_IN
Many many_JJ
Ways way_NNS
! !
Alex alex_NP
Jones jones_NP
Asks asks_NP
the the_DT
Question question_NN
: :
Is be_VBZ
Elon elon_NP
Musk musk_NP
Behind behind_IN
This this_NP
or or_CC
Is i_NP
It it_PP
Leftist leftist_NP
Stay-behinds stay-behinds_NP
in in_IN
the the_DT
Organization organization_NP
? ?
backhand_index_pointing_down_e backhand_index_pointing_down_e
WATCH watch_NP
THE the_NP
BROADCAST broadcast_NP
NOW now_NP
backhand_index_pointing_down_e backhand_index_pointing_down_e
closed_book_e closed_book_e
writing_hand_e writing_hand_e
Get get_VBP
a a_DT
signed sign_VBN
copy copy_NN
of of_IN
' '
The the_DT
Great great_NP
Awakening awakening_NP
' '
& &
help help_VB
support support_NN
Infowars infowars_NNS
! !
- -_NN
#alexjonesshow_h alexjonesshow_h
- -_NN
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
