The the_DT
MOST most_JJ
important important_JJ
issue issue_NN
we we_PP
face face_VBP
today today_NN
is be_VBZ
ELECTION election_NP
INTEGRITY integrity_NP
! !
If if_IN
we we_PP
fail fail_VBP
to to_TO
secure secure_VB
our our
elections election_NNS
BEFORE before_NP
2024 @card@
we we_PP
WILL will_NP
 "  "
lose lose_VB
 "  "
again again_RB
! !
That that_DT
means mean_VBZ
losing lose_VBG
our our
freedom freedom_NN
for for_IN
good good_JJ
! !
All all_PDT
this this_DT
other other_JJ
stuff stuff_NN
people people_NNS
rather rather_RB
talk talk_VBP
about about_RB
is be_VBZ
irrelevant irrelevant_JJ
because because_IN
you you_PP
will will_MD
never never_RB
be be_VB
able able_JJ
to to_TO
fix fix_VB
any any_DT
of of_IN
these these_DT
other other_JJ
issues issue_NNS
you you_PP
' '
re re_NN
crying cry_VBG
about about_RB
if if_IN
we we_PP
don don_NN
' '
t t_NN
get get_VBP
to to_TO
choose choose_VB
your your
leaders leader_NNS
. .
If if_IN
we we_PP
continue continue_VBP
to to_TO
allow allow_VB
our our
leaders leader_NNS
to to_TO
be be_VB
installed install_VBN
they they_PP
will will_MD
continue continue_VB
to to_TO
do do_VB
whatever whatever_WDT
THEY they_NP
want want_VBP
to to_TO
do do_VB
. .
Get get_VB
it it_PP
? ?
! !
