Sick sick_JJ
of of_IN
Big big_NP
Tech tech_NP
hiding hide_VBG
legitimate legitimate_JJ
news news_NN
stories story_NNS
? ?
Me me_PP
too too_RB
. .
That that_IN
' '
s s_NN
why why_WRB
I i_PP
use use_VBP
Freespoke freespoke_NN
. .
It it_PP
' '
s s_NN
a a_DT
free free_JJ
speech speech_NN
search search_NN
engine engine_NN
that that_IN
doesn doesn_NP
' '
t t_NN
censor censor_NN
or or_CC
silence silence_NN
anybody anybody_NN
, ,
even even_RB
conservatives conservative_NNS
! !
Try try_VB
searching search_VBG
any any_DT
news news_NN
story story_NN
and and_CC
compare compare_VB
Freespoke freespoke_NP
' '
s s_NN
results result_NNS
to to_TO
Google google_NP
' '
s s_NN
! !
