DID do_VBD
YOU you_PP
KNOW know_NP
THAT that_NP
IT it_PP
IS be_VBZ
NOT not_NP
REQUIRED required_NP
TO to_NP
HAVE have_NP
A a_NP
LAW law_NP
DEGREE degree_NP
IN in_IN
ORDER order_NP
TO to_NP
BECOME become_NP
A a_NP
SUPREME supreme_NP
COURT court_NP
JUSTICE justice_NP
SO so_NP
LONG long_NP
AS as_NP
YOU you_PP
HAVE have_NP
A a_NP
RUDIMENTARY rudimentary_NP
UNDERSTANDING understanding_NP
OF of_IN
THE the_DT
LAW law_NN
, ,
EVEN even_JJ
IF if_IN
IT it_PP
IS be_VBZ
FASCIST fascist_NP
OR or_NP
MARXIST marxist_NP
? ?
pouting_face_e pouting_face_e
US us_NP
Supreme supreme_NP
Court court_NP
Justice justice_NP
Kentanji kentanji_NP
Brown brown_NP
Jackson jackson_NP
Just just_RB
Defended defend_VBD
The the_DT
US us_NP
Government government_NP
Violating violate_VBG
the the_DT
1st 1st_JJ
Amendment amendment_NP
During during_IN
Arguments arguments_NP
in in_IN
Case case_NP
Sen sen_NP
Rand rand_NP
Paul paul_NP
Calls calls_NP
 "  "
the the_DT
most most_RBS
consequential consequential_JJ
free free_JJ
speech speech_NN
case case_NN
in in_IN
U u_NP
. .
S s_NP
. .
history history_NN
 "  "
