Senator senator_NP
John john_NP
 "  "
Judas judas_NP
 "  "
Thune thune_NP
of of_IN
South south_NP
Dakota dakota_NP
, ,
the the_DT
#2_h 2_h
Republican republican_NP
in in_IN
the the_DT
Senate senate_NP
and and_CC
career career_NN
politician politician_NN
voted vote_VBD
to to_TO
confirm confirm_VB
these these_DT
six six_CD
Biden biden_NP
cabinet cabinet_NN
nominations nomination_NNS
: :
Merrick merrick_NP
Brian brian_NP
Garland garland_NP
, ,
of of_IN
Maryland maryland_NP
, ,
attorney attorney_NN
general general_JJ
Gina gina_NP
Marie marie_NP
Raimondo raimondo_NP
, ,
of of_IN
Rhode rhode_NP
Island island_NP
, ,
secretary secretary_NN
of of_IN
James james_NP
Austin austin_NP
, ,
of of_IN
Georgia georgia_NP
, ,
secretary secretary_NN
of of_IN
John john_NP
Blinken blinken_NP
, ,
of of_IN
New new_NP
York york_NP
, ,
secretary secretary_NN
of of_IN
Paul paul_NP
Montgomery montgomery_NP
Buttigieg buttigieg_NP
, ,
of of_IN
Indiana indiana_NP
, ,
secretary secretary_NN
of of_IN
Louise louise_NP
Yellen yellen_NP
, ,
of of_IN
California california_NP
, ,
secretary secretary_NN
of of_IN
friends friend_NNS
like like_IN
Judas judas_NP
Thune thune_NP
who who_WP
needs need_VBZ
enemies enemy_NNS
? ?
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
