NEW new_JJ
ASK ask_NP
ME me_NP
ANYTHING:-Why anything:-why
was be_VBD
Rome rome_NP
successful successful_JJ
? ?
What what_WP
lessons lesson_NNS
does do_VBZ
it it_PP
offer offer_NN
today today_NN
? ?
-What -what_NN
should should_MD
we we_PP
think think_VB
about about_IN
AOC aoc_NP
' '
s s_JJ
Tesla tesla_NP
? ?
-Is -is_NN
a a_DT
4-day 4-day_JJ
workweek workweek_NN
better well_RBR
than than_IN
a a_DT
5-day 5-day_JJ
one one_CD
? ?
-Is -is_NN
the the_DT
GOP gop_NP
messing mess_VBG
up up_RP
a a_DT
Joe joe_NP
Biden biden_NP
impeachment impeachment_NN
? ?
