WATCH watch_VB
THIS this_NP
: :
Pennsylvania pennsylvania_NP
is be_VBZ
Having have_VBG
a a_DT
Political political_JJ
Realignment realignment_NN
right_arrow_e right_arrow_e
 "  "
Republicans republican_NNS
gained gain_VBD
more more_JJR
than than_IN
10 @card@
, ,
000 @card@
new new_JJ
registrants registrant_NNS
in in_IN
the the_DT
last last_JJ
two two_CD
months month_NNS
. .
right_arrow_e right_arrow_e
 "  "
What what_WP
you you_PP
' '
re re_NN
seeing see_VBG
here here_RB
is be_VBZ
a a_DT
very very_RB
big big_JJ
demographic demographic_JJ
shift shift_NN
. .
The the_DT
Republican republican_NP
Party party_NP
is be_VBZ
increasingly increasingly_RB
more more_RBR
populist populist_JJ
. .
The the_DT
Democrats democrats_NPS
are be_VBP
increasingly increasingly_RB
more more_JJR
elitist elitist_NN
. .
right_arrow_e right_arrow_e
 "  "
Gov gov_NP
. .
Shapiro shapiro_NP
' '
s s_JJ
big big_JJ
push push_NN
for for_IN
automatic automatic_JJ
registration registration_NN
when when_WRB
getting get_VBG
a a_DT
driver driver_NN
' '
s s_NN
license license_NN
has have_VBZ
resulted result_VBN
in in_IN
bigger big_JJR
GOP gop_NP
gains gain_NNS
, ,
which which_WDT
I i_PP
doubt doubt_VBP
Josh josh_NP
was be_VBD
expecting expect_VBG
when when_WRB
he he_PP
got get_VBD
behind behind_IN
this this_DT
. .
 "  "
