Conservative conservative_JJ
theorist theorist_NN
Yoram yoram_NP
Hazony hazony_NP
was be_VBD
a a_DT
firsthand firsthand_JJ
witness witness_NN
to to_TO
Hamas hamas_NP
' '
s s_JJ
missile missile_NN
assault assault_NN
, ,
and and_CC
has have_VBZ
two two_CD
sons son_NNS
serving serve_VBG
in in_IN
the the_DT
IDF idf_NP
. .
So so_RB
, ,
what what_WP
does do_VBZ
he he_PP
make make_VB
of of_IN
Israel israel_NP
' '
s s_JJ
massive massive_JJ
intelligence intelligence_NN
failure failure_NN
before before_IN
Oct oct_NP
. .
7 @card@
? ?
And and_CC
what what_WP
is be_VBZ
the the_DT
long-term long-term_JJ
path path_NN
forward forward_RB
on on_IN
Gaza gaza_NP
and and_CC
Hamas hamas_NP
that that_WDT
is be_VBZ
good good_JJ
for for_IN
both both_DT
Israel israel_NP
and and_CC
the the_DT
United united_NP
States states_NPS
? ?
thinking_face_e thinking_face_e
