There there_EX
is be_VBZ
now now_RB
ONLY only_RB
25 @card@
days day_NNS
remaining remain_VBG
until until_IN
Election election_NP
Day day_NP
. .
I i_PP
see see_VBP
a a_DT
MASSIVE massive_JJ
effort effort_NN
trying try_VBG
to to_TO
distract distract_VB
& &
derail derail_VB
Patriots patriot_NNS
from from_IN
voting voting_NN
in in_IN
the the_DT
Midterms midterm_NNS
. .
Whether whether_IN
that that_RB
be be_VB
by by_IN
causing cause_VBG
intentional intentional_JJ
confusion confusion_NN
, ,
or or_CC
making make_VBG
us us_PP
fight fight_VB
one one_PP
another another_DT
on on_IN
petty petty_JJ
issues issue_NNS
. .
I i_PP
can can_MD
assure assure_VB
you you_PP
that that_IN
those those_DT
are be_VBP
NOT not_JJ
winning win_VBG
strategies strategy_NNS
. .
ALL all_DT
of of_IN
our our
focus focus_NN
& &
efforts effort_NNS
NEED need_JJ
to to_TO
be be_VB
getting get_VBG
everyone everyone_NN
you you_PP
know know_VBP
engaged engage_VBN
& &
excited excite_VBN
to to_TO
get get_VB
in-line in-line_NN
to to_TO
VOTE vote_NP
. .
THAT that_DT
is be_VBZ
the the_DT
way way_NN
forward forward_RB
& &
our our
ONLY only_NP
chance chance_NN
at at_IN
saving save_VBG
our our
country country_NN
from from_IN
these these_DT
PSYCHOPATHS psychopath_NNS
! !
