TRUMP trump_NN
: :
 "  "
I i_PP
will will_MD
immediately immediately_RB
sign sign_VB
an an_DT
executive executive_JJ
order order_NN
to to_TO
cut cut_VB
federal federal_JJ
funding funding_NN
for for_IN
any any_DT
school school_NN
pushing push_VBG
critical critical_JJ
race race_NN
theory theory_NN
, ,
gender gender_NN
insanity insanity_NN
, ,
and and_CC
other other_JJ
inappropriate inappropriate_JJ
racial racial_JJ
, ,
sexual sexual_JJ
, ,
or or_CC
political political_JJ
content content_NN
on on_IN
our our
children child_NNS
. .
I i_PP
will will_MD
keep keep_VB
men man_NNS
out out_RP
of of_IN
women woman_NNS
' '
s s_NN
sports sport_NNS
. .
And and_CC
I i_PP
will will_MD
sign sign_VB
a a_DT
law law_NN
prohibiting prohibit_VBG
child child_NN
sexual sexual_JJ
mutilation mutilation_NN
in in_IN
all all_DT
50 @card@
states state_NNS
. .
Can can_MD
you you_PP
believe believe_VBP
you you_PP
have have_VBP
to to_TO
say say_VB
that that_DT
? ?
 "  "
