Just just_RB
hours hour_NNS
after after_IN
the the_DT
official official_JJ
2024 @card@
presidential presidential_JJ
election election_NN
matchup matchup_NN
was be_VBD
clinched clinch_VBN
by by_IN
President president_NP
Joe joe_NP
Biden biden_NP
and and_CC
presumptive presumptive_JJ
GOP gop_NP
nominee nominee_NN
and and_CC
former former_JJ
President president_NP
Donald donald_NP
Trump trump_NP
. .
The the_DT
Economist economist_NN
/ /
YouGov yougov_NP
released release_VBD
a a_DT
poll poll_NN
Wednesday wednesday_NP
showing show_VBG
a a_DT
remarkably remarkably_RB
close close_JJ
race race_NN
— -
in in_IN
fact fact_NN
, ,
a a_DT
statistical statistical_JJ
tie tie_NN
. .
