Today today_NP
I i_NP
' '
m m_NN
introducing introduce_VBG
the the_DT
 "  "
Parents parent_NNS
' '
Right right_RB
to to_TO
Know know_NP
Act act_NP
. .
 "  "
In in_IN
April april_NP
2023 @card@
, ,
the the_DT
Department department_NP
of of_IN
Education education_NP
issued issue_VBD
guidance guidance_NN
to to_TO
clarify clarify_VB
that that_IN
the the_DT
Family family_NP
Educational educational_NP
Rights rights_NPS
and and_CC
Privacy privacy_NP
Act act_NP
( (
FERPA ferpa_NP
) )
prohibits prohibit_VBZ
parental parental_JJ
access access_NN
to to_TO
student student_NN
health health_NN
information information_NN
in in_IN
the the_DT
absence absence_NN
of of_IN
student student_NN
written write_VBN
federal federal_JJ
government government_NN
should should_MD
not not_RB
be be_VB
inhibiting inhibit_VBG
parents parent_NNS
' '
ability ability_NN
to to_TO
see see_VB
records record_NNS
that that_WDT
could could_MD
affect affect_VB
their their
children child_NNS
' '
s s_NN
upbringing upbringing_NN
. .
My my
bill bill_NN
reinforces reinforce_VBZ
the the_DT
right right_NN
for for_IN
parents parent_NNS
to to_TO
access access_VB
medical medical_JJ
and and_CC
counseling counsel_VBG
records record_NNS
of of_IN
their their
children child_NNS
, ,
lifting lift_VBG
the the_DT
veil veil_NN
of of_IN
secrecy secrecy_NN
in in_IN
Biden biden_NP
' '
s s_JJ
Education education_NP
s s_NN
don don_NN
' '
t t_NN
just just_RB
have have_VBP
a a_DT
right right_NN
to to_TO
know know_VB
what what_WP
' '
s s_NNS
happening happen_VBG
in in_IN
their their
children child_NNS
' '
s s_NN
lives life_NNS
at at_IN
school school_NN
– -
they they_PP
have have_VBP
a a_DT
non-negotiable non-negotiable_JJ
claim claim_NN
to to_TO
: :
