We we_PP
are be_VBP
humbled humble_VBN
by by_IN
the the_DT
welcome welcome_JJ
#truthsocial_h truthsocial_h
is be_VBZ
receiving receive_VBG
across across_IN
the the_DT
pond pond_NN
! !
flag_united_kingdom_e flag_united_kingdom_e
folded_hands_e folded_hands_e
A a_DT
big big_JJ
THANK thank_NP
YOU you_PP
to to_TO
those those_DT
who who_WP
' '
ve ve_NN
joined join_VBD
so so_RB
far far_RB
, ,
including include_VBG
anti-Big anti-big_NP
Tech tech_NP
provocateur provocateur_NN
and and_CC
free free_JJ
speech speech_NN
champion champion_NN
@RealPJW twitterhandle_NNS
! !
And and_CC
, ,
in in_IN
case case_NN
you you_PP
missed miss_VBD
it it_PP
, ,
here here_RB
' '
s s_VBZ
Truth truth_NP
Social social_NP
CEO ceo_NP
@DevinNunes twitterhandle_NNS
announcing announce_VBG
#truthuk_h truthuk_h
on on_IN
GB gb_NP
News news_NP
with with_IN
Nigel nigel_NP
Farage farage_NP
: :
