Religious religious_JJ
freedom freedom_NN
and and_CC
compelled compel_VBN
speech speech_NN
are be_VBP
front front_JJ
and and_CC
center center_NN
in in_IN
the the_DT
303 @card@
Creative creative_NP
vs vs_NP
. .
Elenis elenis_NP
case case_NN
. .
@ClayTravis twitterhandle_NP
and and_CC
@BuckSexton twitterhandle_NP
ponder ponder_VBP
this this_DT
SCOTUS scotus_NP
legal legal_JJ
us us_PP
on on_IN
Odysee odysee_NN
. .
Be be_VB
sure sure_JJ
to to_TO
give give_VB
us us_PP
a a_DT
like like_VBP
, ,
share share_VBP
this this_DT
video video_NN
, ,
and and_CC
subscribe subscribe_VB
to to_TO
our our
channel channel_NN
! !
