Former former_JJ
President president_NP
Donald donald_NP
Trump trump_NP
remains remain_VBZ
at at_IN
the the_DT
top top_NN
of of_IN
a a_DT
New new_NP
Hampshire hampshire_NP
poll poll_NN
taken take_VBN
after after_IN
his his
indictment indictment_NN
on on_IN
federal federal_JJ
charges charge_NNS
, ,
leading lead_VBG
Florida florida_NP
Gov gov_NP
. .
Ron ron_NP
DeSantis desantis_NP
, ,
his his
top top_JJ
competitor competitor_NN
in in_IN
the the_DT
race race_NN
for for_IN
the the_DT
2024 @card@
GOP gop_NP
presidential presidential_JJ
nomination nomination_NN
, ,
by by_IN
34 @card@
percentage percentage_NN
points point_NNS
. .
