1 1_LS
. .
Chuck chuck_NP
Schumer schumer_NP
, ,
the the_DT
Democratic democratic_NP
Senate senate_NP
Majority majority_NP
Leader leader_NP
from from_IN
New new_NP
York york_NP
, ,
seems seem_VBZ
to to_TO
have have_VB
a a_DT
bit bit_NN
of of_IN
irony irony_NN
up up_IN
his his
sleeve sleeve_NN
when when_WRB
he he_PP
labeled label_VBD
the the_DT
GOP-led gop-led_JJ
impeachment impeachment_NN
inquiry inquiry_NN
into into_IN
President president_NP
Joe joe_NP
Biden biden_NP
' '
s s_NN
alleged allege_VBD
financial financial_JJ
wrongdoings wrongdoing_NNS
as as_IN
a a_DT
' '
witch witch_NN
hunt hunt_NN
. .
' '
It it_PP
' '
s s_NN
quite quite_RB
amusing amusing_JJ
considering consider_VBG
his his
own own_JJ
party party_NN
spent spend_VBD
the the_DT
past past_JJ
eight eight_CD
years year_NNS
politically politically_RB
targeting target_VBG
former former_JJ
President president_NP
Donald donald_NP
Trump trump_NP
. .
