Be be_VB
very very_RB
careful careful_JJ
with with_IN
federal federal_JJ
elected elect_VBN
politicians politician_NNS
from from_IN
South south_NP
Dakota dakota_NP
. .
Some some_DT
of of_IN
the the_DT
best good_JJS
liars liar_NNS
you you_PP
' '
ll ll_JJ
encounter encounter_NN
in in_IN
politics politics_NNS
. .
The the_DT
arrogance arrogance_NN
in in_IN
Thune thune_NP
' '
s s_NN
comments comment_NNS
is be_VBZ
remarkable remarkable_JJ
. .
He he_PP
' '
s s_NN
acknowledging acknowledge_VBG
that that_IN
what what_WP
voters voter_NNS
— -
his his
voters voter_NNS
— -
really really_RB
want want_VBP
is be_VBZ
 "  "
Trump-like trump-like_JJ
 "  "
candidates candidate_NNS
, ,
yet yet_CC
he he_PP
nevertheless nevertheless_RB
promises promise_VBZ
to to_TO
try try_VB
to to_TO
shoot shoot_VB
down down_RP
such such_JJ
candidates candidate_NNS
by by_IN
throwing throw_VBG
the the_DT
weight weight_NN
, ,
resources resource_NNS
, ,
and and_CC
money money_NN
of of_IN
the the_DT
establishment establishment_NN
behind behind_IN
detested detest_VBN
ent ent_NN
Trump trump_NP
previously previously_RB
lashed lash_VBD
out out_RP
at at_IN
Thune thune_NP
, ,
calling call_VBG
him him_PP
a a_DT
 "  "
RINO rino_NP
, ,
 "  "
after after_IN
the the_DT
senator senator_NN
said say_VBD
that that_IN
the the_DT
Senate senate_NP
effort effort_NN
to to_TO
challenge challenge_VB
fraudulent fraudulent_JJ
election election_NN
results result_NNS
would would_MD
 "  "
go go_VB
down down_RB
like like_IN
a a_DT
shot shot_NN
dog dog_NN
. .
 "  "
#xteam_h xteam_h
#dt47_h dt47_h
#truthtrain_h truthtrain_h
#phpnews_h phpnews_h
#tcd_h tcd_h
#nightshift_h nightshift_h
#lilypadlounge_h lilypadlounge_h
#fhfnews_h fhfnews_h
#rpn_h rpn_h
#ratpack_h ratpack_h
#twgrp_h twgrp_h
#thefungicrew_h thefungicrew_h
#5dnews_h 5dnews_h
#wtpafu_h wtpafu_h
#trump2024_h trump2024_h
#murchmadness_h murchmadness_h
#ncswic_h ncswic_h
#maga2024_h maga2024_h
#maga_h maga_h
#fbj_h fbj_h
#truth_h truth_h
#trumpwon_h trumpwon_h
#wethepeople_h wethepeople_h
#trump_h trump_h
