Bridge bridge_NP
Gate gate_NP
Chris chris_NP
Christie christie_NP
has have_VBZ
disqualified disqualify_VBN
himself himself_PP
from from_IN
the the_DT
GOP gop_NP
debate debate_NN
by by_IN
refusing refuse_VBG
to to_TO
say say_VB
he he_PP
' '
d d_NN
vote vote_NN
for for_IN
the the_DT
Republican republican_JJ
nominee nominee_NN
for for_IN
president president_NN
if if_IN
it it_PP
is be_VBZ
Donald donald_NP
Trump trump_NP
. .
Let let_NP
' '
s s_NNS
see see_VBP
if if_IN
the the_DT
RNC rnc_NP
stands stand_VBZ
by by_IN
its its
requirements requirement_NNS
. .
I i_PP
told tell_VBD
you you_PP
this this_DT
fraud fraud_NN
intends intend_VBZ
to to_TO
help help_VB
elect elect_VB
Joe joe_NP
Biden biden_NP
. .
