One one_CD
thing thing_NN
I i_PP
wanted want_VBD
to to_TO
highlight highlight_VB
, ,
is be_VBZ
that that_IN
in in_IN
NO no_NP
way way_NN
do do_VBP
I i_PP
wish wish_VBP
ANY any_JJ
harm harm_NN
, ,
or or_CC
ill ill_RB
will will_MD
to to_TO
the the_DT
migrants migrant_NNS
that that_WDT
are be_VBP
being be_VBG
used use_VBN
as as_IN
Globalist globalist_NP
PAWNS pawns_NP
for for_IN
their their
NWO nwo_NP
ally ally_NN
the the_DT
CHILDREN children_NP
. .
I i_PP
think think_VBP
it it_PP
' '
s s_NNS
important important_JJ
to to_TO
understand understand_VB
that that_IN
those those_DT
people people_NNS
, ,
I i_PP
' '
d d_NN
say say_VBP
MOST most_JJ
of of_IN
them them_PP
, ,
don don_NN
' '
t t_NN
know know_VBP
any any_DT
better well_RBR
. .
They they_PP
see see_VBP
our our
doors door_NNS
wide wide_RB
open open_JJ
, ,
offering offer_VBG
food food_NN
, ,
shelter shelter_NN
, ,
clothes clothes_NNS
, ,
healthcare healthcare_NN
etc etc_NN
. .
They they_PP
would would_MD
be be_VB
crazy crazy_JJ
NOT not_NP
to to_TO
take take_VB
it…The it…the
FAULT fault_NP
of of_IN
this this_DT
humanitarian humanitarian_JJ
CRISIS crisis_NN
falls fall_VBZ
on on_IN
the the_DT
backs back_NNS
of of_IN
those those_DT
who who_WP
want want_VBP
to to_TO
see see_VB
our our
FALL fall_NN
. .
