I i_PP
believe believe_VBP
that that_IN
conservative conservative_JJ
voters voter_NNS
will will_MD
continue continue_VB
to to_TO
feel feel_VB
deflated deflate_VBN
about about_IN
elections election_NNS
until until_IN
they they_PP
see see_VBP
that that_IN
victory victory_NN
is be_VBZ
possible possible_JJ
. .
IT it_PP
IS be_VBZ
. .
But but_CC
stand stand_VB
up up_RP
and and_CC
invest invest_VB
in in_IN
our our
future future_NN
NOW now_RB
. .
Don don_NP
' '
t t_NN
allow allow_VB
your your
shaken shake_VBN
faith faith_NN
to to_TO
make make_VB
you you_PP
complacent complacent_JJ
. .
Believe believe_VBP
NOW now_RB
that that_IN
we we_PP
can can_MD
win win_VB
. .
Then then_RB
let let_VB
' '
s s_NNS
work work_VBP
to to_TO
make make_VB
it it_PP
HAPPEN happen_NP
! !
