Tuesday tuesday_NP
LIVE live_NP
: :
Vital vital_JJ
US us_NP
Port port_NP
Brought brought_NP
to to_TO
Standstill standstill_NP
After after_IN
Baltimore baltimore_NP
Bridge bridge_NP
Collapse collapse_NP
— -
Tune tune_NP
In in_IN
For for_IN
Possible possible_JJ
Black black_NP
Swan swan_NP
Event event_NP
! !
MUST-WATCHposted must-watchposted_VBN
22 @card@
minutes minute_NNS
ago ago_RB
backhand_index_pointing_down_e backhand_index_pointing_down_e
WATCH watch_NP
THE the_NP
BROADCAST broadcast_NP
NOW now_NP
backhand_index_pointing_down_e backhand_index_pointing_down_e
closed_book_e closed_book_e
writing_hand_e writing_hand_e
Get get_VBP
a a_DT
signed sign_VBN
copy copy_NN
of of_IN
' '
The the_DT
Great great_NP
Awakening awakening_NP
' '
& &
help help_VB
support support_NN
Infowars infowars_NNS
! !
- -_NN
#alexjonesshow_h alexjonesshow_h
- -_NN
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
backhand_index_pointing_down_e backhand_index_pointing_down_e
