DEMOCRATS democrat_NNS
ARE be_VBP
GONNA gonna_NP
BE be_NP
BIG big_NP
MAD mad_NP
THEY they_NP
CAN can_NP
' '
T t_NN
MUTILATE mutilate_NP
CHILDREN children_NP
' '
S s_NP
GENITALIA genitalia_NP
! !
smiling_face_with_hearts_e smiling_face_with_hearts_e
smiling_face_with_hearts_e smiling_face_with_hearts_e
smiling_face_with_hearts_e smiling_face_with_hearts_e
The the_DT
law law_NN
would would_MD
ban ban_VB
doctors doctor_NNS
from from_IN
 "  "
prescribing prescribe_VBG
hormone hormone_NN
therapy therapy_NN
and and_CC
puberty puberty_NN
blockers blocker_NNS
to to_TO
minors minor_NNS
, ,
and and_CC
from from_IN
administering administer_VBG
gender-transition gender-transition_NN
surgical surgical_JJ
procedures procedure_NNS
, ,
 "  "
according accord_VBG
to to_TO
NOLA nola_NP
. .
The the_DT
state state_NN
legislature legislature_NN
passed pass_VBD
the the_DT
bill bill_NN
in in_IN
June june_NP
, ,
only only_RB
to to_TO
be be_VB
vetoed veto_VBN
by by_IN
Gov gov_NP
. .
John john_NP
Bel bel_NP
: :
/ /
/ /
