from from_IN
the the_DT
great great_JJ
Col col_NN
Allen allen_NP
West-Today west-today_NP
is be_VBZ
a a_DT
great great_JJ
and and_CC
monumental monumental_JJ
day day_NN
for for_IN
these these_DT
United united_NP
States states_NPS
of of_IN
America america_NP
. .
On on_IN
Oct oct_NP
. .
19 @card@
, ,
1781 @card@
, ,
the the_DT
British british_NP
officially officially_RB
surrendered surrender_VBD
to to_TO
Gen gen_NP
. .
George george_NP
Washington washington_NP
and and_CC
effectively effectively_RB
ended end_VBD
the the_DT
War war_NP
of of_IN
Independence independence_NP
. .
Yes yes_UH
, ,
today today_NN
is be_VBZ
anniversary anniversary_NN
of of_IN
the the_DT
day day_NN
that that_IN
America america_NP
secured secure_VBD
its its
independence independence_NN
. .
. .
. .
kinda kinda_RB
like like_IN
April april_NP
21 @card@
, ,
1836 @card@
is be_VBZ
San san_NP
Jacinto jacinto_NP
Day day_NP
here here_RB
in in_IN
Texas texas_NP
. .
Sadly sadly_RB
, ,
this this_DT
nation nation_NN
is be_VBZ
too too_RB
busy busy_JJ
indoctrinating indoctrinate_VBG
and and_CC
sexualizing sexualizing_VBG
our our
children child_NNS
to to_TO
teach teach_VB
them them_PP
our our
exceptional exceptional_JJ
history history_NN
. .
