8 @card@
GOP gop_NP
presidential presidential_JJ
hopefuls hopeful_NNS
attended attend_VBD
the the_DT
 "  "
Roast roast_NN
and and_CC
Ride ride_JJ
 "  "
event event_NN
in in_IN
#iowa_h iowa_h
to to_TO
pitch pitch_VB
themselves themselves_PP
to to_TO
prospective prospective_JJ
voters voter_NNS
as as_IN
the the_DT
busy busy_JJ
summer summer_NN
campaign campaign_NN
season season_NN
kicks kick_VBZ
off off_RP
, ,
with with_IN
GOP gop_NP
frontrunner frontrunner_NN
former former_JJ
President president_NP
@realDonaldTrump twitterhandle_NN
notably notably_RB
absent absent_JJ
. .
