Here here_RB
' '
s s_NN
one one_CD
for for_IN
the the_DT
ages age_NNS
… …
 "  "
America america_NP
' '
s s_VBZ
#1_h 1_h
Rapper rapper_NP
 "  "
Ben ben_NP
Shapiro shapiro_NP
, ,
 "  "
Conservative conservative_JJ
 "  "
influencer influencer_NN
and and_CC
majority majority_NN
owner owner_NN
of of_IN
 "  "
The the_DT
Daily daily_NP
Wire wire_NP
 "  "
has have_VBZ
been be_VBN
found find_VBN
to to_TO
be be_VB
making make_VBG
very very_RB
generous generous_JJ
contributions contribution_NNS
to to_TO
HIAS hias_NP
( (
Hebrew hebrew_NP
Immigrant immigrant_NP
Aid aid_NP
Society society_NP
) )
triangular_flag_e triangular_flag_e
triangular_flag_e triangular_flag_e
triangular_flag_e triangular_flag_e
The the_DT
Daily daily_NP
Wire wire_NP
has have_VBZ
also also_RB
shamelessly shamelessly_RB
pushed push_VBN
the the_DT
death death_NN
jab jab_NN
, ,
support support_NN
for for_IN
the the_DT
Ukraine ukraine_NP
war war_NN
, ,
and and_CC
cheered cheer_VBD
on on_IN
the the_DT
endless endless_JJ
war war_NN
between between_IN
Israel israel_NP
/ /
Gaza gaza_NP
. .
Not not_RB
to to_TO
mention mention_VB
, ,
VERY very_NP
outspoken outspoken_JJ
about about_IN
support support_NN
for for_IN
candidate candidate_NN
Ron ron_NP
DeSantis desantis_NP
, ,
and and_CC
in in_IN
total total_JJ
opposition opposition_NN
of of_IN
@ twitterhandle_SYM
, ,
is be_VBZ
one one_CD
of of_IN
the the_DT
many many_JJ
NGOs ngos_NP
working work_VBG
in in_IN
tandem tandem_NN
with with_IN
the the_DT
United united_NP
Nations nations_NPS
, ,
and and_CC
the the_DT
Communist communist_NP
Biden biden_NP
Regime regime_NP
to to_TO
ensure ensure_VB
that that_IN
illegal illegal_JJ
immigrants immigrant_NNS
from from_IN
ALL all_JJ
corners corner_NNS
of of_IN
the the_DT
world world_NN
are be_VBP
well well_RB
funded fund_VBN
, ,
and and_CC
taken take_VBN
care care_NN
of of_IN
as as_IN
they they_PP
make make_VBP
the the_DT
journey journey_NN
on on_IN
the the_DT
Pan pan_NP
American american_NP
Highway highway_NP
to to_TO
INVADE invade_NP
our our
' '
Ben ben_NP
is be_VBZ
also also_RB
a a_DT
stanch stanch_NN
advocate advocate_NN
for for_IN
the the_DT
 "  "
Browning browning_NP
of of_IN
America america_NP
 "  "
and and_CC
 "  "
couldn couldn_NN
' '
t t_NN
give give_VB
a a_DT
damn damn_NN
 "  "
what what_WP
you you_PP
think think_VBP
. .
 "  "
Be be_VB
careful careful_JJ
WHO who_WP
you you_PP
follow follow_VBP
 "  "
is be_VBZ
an an_DT
UNDERSTATEMENT understatement_NN
. .
Our our
 "  "
movement movement_NN
 "  "
has have_VBZ
been be_VBN
throughly throughly_RB
: :
/ /
/ /
