Attorney attorney_NP
General general_NP
Merrick merrick_NP
Garland garland_NP
believes believe_VBZ
he he_PP
' '
s s_NN
above above_IN
the the_DT
law law_NN
and and_CC
doesn doesn_NN
' '
t t_NN
have have_VBP
to to_TO
comply comply_VB
with with_IN
legally legally_RB
issued issue_VBN
Congressional congressional_NP
, ,
the the_DT
House house_NP
held hold_VBD
Merrick merrick_NP
Garland garland_NP
in in_IN
contempt contempt_NN
of of_IN
d d_NN
has have_VBZ
completely completely_RB
weaponized weaponized_VBN
the the_DT
Department department_NP
of of_IN
Justice justice_NP
against against_IN
the the_DT
American american_JJ
people people_NNS
and and_CC
created create_VBN
two two_CD
tiers tier_NNS
of of_IN
justice justice_NN
. .
One one_CD
for for_IN
himself himself_PP
, ,
Joe joe_NP
Biden biden_NP
, ,
and and_CC
the the_DT
Democrats democrats_NPS
, ,
and and_CC
another another_DT
for for_IN
President president_NP
Trump trump_NP
and and_CC
conservative conservative_JJ
and and_CC
Antifa antifa_NN
thugs thug_NNS
caused cause_VBD
billions billion_NNS
in in_IN
damage damage_NN
all all_DT
across across_IN
our our
country country_NN
as as_IN
they they_PP
burned burn_VBD
our our
cities city_NNS
in in_IN
2020 @card@
. .
AG ag_NP
Garland garland_NP
has have_VBZ
refused refuse_VBN
to to_TO
go go_VB
after after_IN
these these_DT
ile ile_NN
, ,
he he_PP
has have_VBZ
destroyed destroy_VBN
the the_DT
lives life_NNS
of of_IN
innocent innocent_JJ
patriotic patriotic_JJ
Americans americans_NPS
who who_WP
protested protest_VBD
the the_DT
fraudulent fraudulent_JJ
2020 @card@
presidential presidential_JJ
must must_MD
end end_VB
the the_DT
two-tiered two-tiered_JJ
system system_NN
of of_IN
justice justice_NN
in in_IN
Joe joe_NP
Biden biden_NP
' '
s s_JJ
Department department_NP
of of_IN
Justice justice_NP
now now_RB
pursue pursue_VB
charges charge_NNS
against against_IN
AG ag_NP
Garland garland_NP
just just_RB
like like_IN
they they_PP
did do_VBD
against against_IN
Peter peter_NP
Navarro navarro_NP
and and_CC
Steve steve_NP
Bannon bannon_NP
? ?
? ?
