One one_CD
year year_NN
ago ago_RB
, ,
Elon elon_NP
Musk musk_NP
bought buy_VBD
Twitter twitter_NP
and and_CC
renamed rename_VBD
it it_PP
X x_NP
. .
Now now_RB
, ,
America america_NP
' '
s s_NN
politics politics_NNS
is be_VBZ
radically radically_RB
different different_JJ
: :
Free free_JJ
speech speech_NN
is be_VBZ
back back_RB
, ,
and and_CC
ideas idea_NNS
that that_WDT
were be_VBD
once once_RB
unthinkable unthinkable_JJ
are be_VBP
now now_RB
boldly boldly_RB
proclaimed proclaim_VBN
to to_TO
millions million_NNS
. .
police_car_light_e police_car_light_e
down_arrow_e down_arrow_e
